"name","state","adm_rate","satv25","satv50","satv75","satm25","satm50","satm75","pell_grant_rate","fed_loan_rate","ug","ug_men","ug_women","ug_white","ug_black","ug_hispanic","ug_asian","ug_25plus","first_gen","tuition","math_deg","faculty_salary","engi_deg","bio_deg","sci_deg","human_deg","psych_deg","engl_deg","edu_deg","foreign_lang_deg","law_deg","comm_deg","compsci_deg","arch_deg","agri_deg","hist_deg","socialsci_deg","health_deg","business_deg","ft_faculty_rate","endowment","booksupply","roomboard"
"University of Central Florida","FL",0.44,590,630,670,580,625,670,0.3764,0.3521,58900,0.4534,0.5466,0.4652,0.108,0.2848,0.0646,0.167,0.3526400468,23777,0.0058,10700,0.0721,0.05,0.0046,0.0305,0.0826,0.0244,0.0749,0.0011,0.0171,0,0.0362,0.0028,0,0.0103,0.0399,0.1571,0.1872,0.9799,162816774,1200,10010
"SUNY at Albany","NY",0.54,550,585,620,540,585,630,0.4208,0.5729,13200,0.4832,0.5168,0.4356,0.1921,0.1765,0.0854,0.0588,0.3008942662,26636,0.0227,9900,0.0038,0.0541,0.0202,0,0.0806,0.0294,0.0192,0.0077,0,0,0.0909,0,0,0.0202,0.2115,0,0.1296,0.5963,75126461,1000,14240
"Grand Valley State University","MI",0.83,530,580,630,520,570,620,0.3037,0.579,21000,0.4022,0.5978,0.8174,0.0436,0.0594,0.0241,0.0683,0.2732988166,17276,0.0217,9200,0.0298,0.0373,0.0103,0.02,0.0545,0.0367,0.02,0.0071,0.0056,0,0.0303,0,0,0.0056,0.0436,0.1839,0.232,0.6622,132090935,740,9400
"Rutgers University-New Brunswick","NJ",0.61,590,635,680,620,685,750,0.291,0.4717,35800,0.5015,0.4985,0.3605,0.0635,0.1292,0.2895,0.0661,0.345829486,31559,0.0193,12300,0.1018,0.0836,0.0171,0,0.0565,0.0167,0,0.009,0,0,0.0951,0.0057,0.0197,0.0139,0.0806,0.1066,0.1767,0.5751,1130228000,1350,13075
"University of Utah","UT",0.62,573,627,680,570,635,700,0.257,0.2866,23400,0.5308,0.4692,0.6678,0.013,0.1341,0.0606,0.1952,0.2944091683,28480,0.0181,10800,0.0949,0.0374,0.0309,2e-04,0.0653,0.0264,0.0134,0.0166,0,0,0.0542,0.0099,0,0.009,0.1293,0.0777,0.1239,0.9767,1080567000,996,10684
"Clarke University","IA",0.94,470,515,560,470,515,560,0.1989,0.4879,700,0.4634,0.5366,0.6936,0.0882,0.1106,0.012,0.0628,0.2935064935,32550,0,6200,0,0.0755,0,0.0063,0.1384,0,0.1132,0,0,0,0.0377,0,0,0.0189,0,0.239,0.1761,0.5674,26522267,1330,10000
"Carlow University","PA",0.92,500,545,590,480,522,563,0.4576,0.7959,1300,0.1661,0.8339,0.6918,0.1778,0.0225,0.0318,0.2858,0.3683574879,30428,0,7300,0,0.1361,0.0068,0.0306,0.068,0.0136,0.0748,0,0,0,0,0,0,0.0068,0.0238,0.4558,0.1088,1,32440448,1400,11902
"Queens University of Charlotte","NC",0.65,530,580,630,510,560,610,0.2843,0.6937,1700,0.3307,0.6693,0.5544,0.1524,0.1233,0.0284,0.1789,0.2190332326,33600,0.0051,7500,0,0.0921,0.0102,0.0051,0.0486,0.0358,0.0128,0.0051,0,0,0,0,0,0.0128,0.0435,0.2788,0.202,0.4813,152469514,1200,11222
"Wisconsin Lutheran College","WI",0.89,510,585,660,510,570,630,0.306,0.7392,1000,0.4494,0.5506,0.8249,0.0466,0.0739,0.0132,0.1047,0.2936802974,30470,0.0044,6900,0,0.1096,0,0,0.0482,0.0132,0.0789,0.0044,0,0,0.0175,0,0,0,0.0175,0.0921,0.3421,0.8987,36629229,800,10496
"St. John's University-New York","NY",0.72,550,595,640,540,600,660,0.2659,0.3684,11700,0.4361,0.5639,0.4174,0.1428,0.1458,0.1592,0.0176,0.3164556962,41380,0.0036,12500,0,0.0987,0.0121,0.0057,0.0651,0.0206,0.0384,0.0012,0.0425,0.0158,0.0425,0,0,0.0105,0.0433,0.108,0.2535,0.4406,748873000,656,17290
"Duquesne University","PA",0.74,570,610,650,560,605,650,0.1923,0.6202,5800,0.3637,0.6363,0.8088,0.0538,0.0408,0.0341,0.0341,0.1729686243,38452,0.0108,9400,0.0116,0.0882,0.008,7e-04,0.0419,0.0145,0.0672,7e-04,0,0,0.0441,0,0,0.0195,0.055,0.3189,0.2314,0.5171,488351000,1400,13088
"Clemson University","SC",0.51,620,655,690,610,660,710,0.1656,0.3853,20100,0.5034,0.4966,0.8058,0.0615,0.0553,0.0261,0.0342,0.1724543849,39520,0.0096,10600,0.2149,0.092,0.0129,0,0.0583,0.0264,0.0273,0.0169,0,0,0.0327,0.015,0.0725,0.0102,0.0589,0.0585,0.2047,0.9251,774514047,1436,11414
"University of South Florida","FL",0.48,590,625,660,580,625,670,0.3596,0.3467,31800,0.4506,0.5494,0.4635,0.099,0.216,0.0727,0.1669,0.3575418994,17184,0.0087,10300,0.0731,0.109,0.0161,0.061,0.0593,0.0184,0.0343,0.0052,0,0,0.0354,0,0,0.0095,0.0996,0.2133,0.1485,0.7521,480069517,1100,11836
"Mount Marty University","SD",0.72,410,475,540,400,455,510,0.2367,0.4374,600,0.4542,0.5458,0.7637,0.0532,0.0915,0.0067,0.1511,0.3202846975,25616,0.0081,6500,0,0.0161,0,0,0.0484,0.0081,0.1613,0,0,0,0,0,0.0161,0,0.0565,0.2581,0.25,0.4945,28252427,1200,8146
"Emory University","GA",0.16,670,705,740,690,740,790,0.1876,0.3014,7000,0.4025,0.5975,0.3921,0.0816,0.1068,0.2152,0.0413,0.1638702461,55344,0.0454,14400,0,0.165,0.0469,0.0083,0.0493,0.0283,0,0.0161,0,0,0.0185,0,0,0.0171,0.142,0.1396,0.1884,0.7633,8626248037,1224,14972
